,title,brand,price
2,street fighter 2 II turbo super nintendo snes super nes video game,Nintendo,0.72
8,Need for Speed Porsche Unleashed,Electronic Arts,49.98
13,Star Wars Math: Jabba's Game Galaxy,Star Wars,24.00
38,Anno 2070,Ubisoft,7.95
43,Barbie Storymaker Cd Rom,,1.90
47,Legend of Zelda Box Set Prima Official Game Guide,DIAMOND SELECT TOYS,299.00
50,Earthsiege 2                         C/W95/Us,Cmsie          83671,5.79
54,Ai Yori Aoshi - Interactive Visual Novel [PC Game],,20.99
56,Might As Well Dance,,5.99
57,Dark Age Apocalypse: Forcelists HC,Dark Age Games,16.55
58,Motion Plus Sensor For Wii Remote Controller Black,Motion,5.23
61,Captain Bible: Dome of Darkness,Bridgestone Management,58.27
62,Microsoft Arcade,,10.95
63,Quickverse 3.0 King James Version for Windows,windows,49.99
69,Fantasy Flight Games Descent: Well of Darkness,Fantasy Flight Games,159.99
