,Unnamed: 0,title,brand,price
5,47,Legend of Zelda Box Set Prima Official Game Guide,DIAMOND SELECT TOYS,299.0
6,50,Earthsiege 2                         C/W95/Us,Cmsie          83671,5.79
7,54,Ai Yori Aoshi - Interactive Visual Novel [PC Game],,20.99
8,56,Might As Well Dance,,5.99
9,57,Dark Age Apocalypse: Forcelists HC,Dark Age Games,16.55
10,58,Motion Plus Sensor For Wii Remote Controller Black,Motion,5.23
11,61,Captain Bible: Dome of Darkness,Bridgestone Management,58.27
12,62,Microsoft Arcade,,10.95
13,63,Quickverse 3.0 King James Version for Windows,windows,49.99
14,69,Fantasy Flight Games Descent: Well of Darkness,Fantasy Flight Games,159.99
