,Unnamed: 0,title,brand,price
0,2,street fighter 2 II turbo super nintendo snes super nes video game,Nintendo,0.72
1,8,Need for Speed Porsche Unleashed,Electronic Arts,49.98
2,13,Star Wars Math: Jabba's Game Galaxy,Star Wars,24.0
3,38,Anno 2070,Ubisoft,7.95
4,43,Barbie Storymaker Cd Rom,,1.9
5,47,Legend of Zelda Box Set Prima Official Game Guide,DIAMOND SELECT TOYS,299.0
6,50,Earthsiege 2                         C/W95/Us,Cmsie          83671,5.79
7,54,Ai Yori Aoshi - Interactive Visual Novel [PC Game],,20.99
8,56,Might As Well Dance,,5.99
9,57,Dark Age Apocalypse: Forcelists HC,Dark Age Games,16.55
